Wiki,RGL,Cat,Noun,Grammar,Syntax,Strategy,Note
Afr,Afr,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Amh,Amh,MISSING,MISSING,MISSING,MISSING,BROKEN,OVERRIDE: Crash: SyntaxAmh missing mkPN and mkAdv constructors
Ara,Ara,MISSING,MISSING,MISSING,MISSING,BROKEN,OVERRIDE: Compiler Error: GrammarAra.gf not found in search paths
Bul,Bul,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Cat,Cat,MISSING,FOUND,FOUND,FOUND,BROKEN,
Dan,Dan,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Dut,Dut,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Eng,Eng,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Est,Est,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Fin,Fin,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Fre,Fre,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Gre,Gre,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Heb,Heb,FOUND,FOUND,FOUND,MISSING,SAFE_MODE,
Hin,Hin,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Hun,Hun,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Ice,Ice,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Ita,Ita,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Lat,Lat,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Lav,Lav,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Lit,Lit,FOUND,FOUND,FOUND,MISSING,SAFE_MODE,
Mlt,Mlt,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Mon,Mon,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Nep,Nep,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Nno,Nno,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Nor,Nor,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Pes,Pes,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Pol,Pol,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Por,Por,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Rus,Rus,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Snd,Snd,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Som,Som,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Spa,Spa,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Swa,Swa,FOUND,FOUND,FOUND,MISSING,SAFE_MODE,
Swe,Swe,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Tha,Tha,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Tur,Tur,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Urd,Urd,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Bas,Eus,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Deu,Ger,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Ger,Ger,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Jap,Jpn,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Jpn,Jpn,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Pan,Pnb,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Rom,Ron,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Slv,Slv,FOUND,FOUND,FOUND,MISSING,SAFE_MODE,
Zho,Chi,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Chi,Chi,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
Kor,Kor,FOUND,FOUND,FOUND,FOUND,HIGH_ROAD,
